team,seed,region,wins
Florida,1,South,6
Houston,1,Midwest,5
Auburn,1,East,4
Duke,1,West,4
Alabama,2,West,3
Michigan State,2,East,3
Tennessee,2,Midwest,3
Texas Tech,3,South,3
Kentucky,3,Midwest,2
Arizona,4,West,2
Maryland,4,South,2
Purdue,4,Midwest,2
Michigan,5,East,2
BYU,6,West,2
Ole Miss,6,East,2
Arkansas,10,South,2
St. John's,2,South,1
Iowa State,3,East,1
Wisconsin,3,West,1
Texas A&M,4,East,1
Oregon,5,West,1
Illinois,6,Midwest,1
St. Mary's,7,West,1
UCLA,7,Midwest,1
Gonzaga,8,Midwest,1
UConn,8,South,1
Baylor,9,West,1
Creighton,9,East,1
New Mexico,10,East,1
Drake,11,South,1
North Carolina,11,East,1
Xavier,11,Midwest,1
Colorado State,12,South,1
McNeese State,12,Midwest,1
Alabama State,16,East,1
Mount St. Mary's,16,West,1
Clemson,5,Midwest,0
Memphis,5,South,0
Missouri,6,South,0
Kansas,7,South,0
Marquette,7,East,0
Louisville,8,East,0
Mississippi State,8,West,0
Georgia,9,Midwest,0
Oklahoma,9,South,0
Utah State,10,Midwest,0
Vanderbilt,10,West,0
San Diego State,11,East,0
Texas,11,Midwest,0
VCU,11,West,0
Liberty,12,West,0
UC San Diego,12,East,0
Akron,13,West,0
Grand Canyon,13,South,0
High Point,13,Midwest,0
Yale,13,East,0
Lipscomb,14,East,0
Montana,14,West,0
Troy,14,Midwest,0
UNC Wilmington,14,South,0
Bryant,15,East,0
Omaha,15,South,0
Robert Morris,15,West,0
Wofford,15,Midwest,0
American,16,West,0
Norfolk State,16,South,0
SIU Edwardsville,16,Midwest,0
Saint Francis U,16,East,0
